ENSP00000259237	BIN1
ENSP00000259238	BIN1
ENSP00000259239	IMP4
ENSP00000409332	ISCA1
ENSP00000409333	TRAK2
ENSP00000409330	ARHGAP27
ENSP00000409331	ARPP21
ENSP00000274459	ATG12
ENSP00000274458	COMMD10
ENSP00000409335	DROSHA
ENSP00000393555	FGFR1OP
ENSP00000393556	AC005035.1
ENSP00000274456	TNFAIP8
ENSP00000393550	KIAA1210
ENSP00000393551	LUC7L
ENSP00000393552	ZNF692
ENSP00000393553	PTPRA
ENSP00000328422	AC078953.1
ENSP00000328423	C15orf60
ENSP00000328420	IL1F8
ENSP00000432548	ZNF48
ENSP00000328426	C10orf18
ENSP00000432543	PBXIP1
ENSP00000432542	RPS3
ENSP00000432541	CTSC
ENSP00000432540	VAV3
ENSP00000432547	WDR65
ENSP00000432546	EXPH5
ENSP00000432545	NANOGP1
ENSP00000432544	WHSC1L1
ENSP00000414497	IGF2
ENSP00000261353	YPEL5
ENSP00000362635	FGD2
ENSP00000344392	CLUAP1
ENSP00000344393	FCF1
ENSP00000376919	LUC7L3
ENSP00000376918	WFIKKN2
ENSP00000376915	MTMR2
ENSP00000376914	ATP2C1
ENSP00000376916	JPH3
ENSP00000376911	LGMN
ENSP00000376910	LRRIQ1
ENSP00000376913	SETX
ENSP00000377527	PC
ENSP00000362634	TSSK3
ENSP00000408060	HMGN5
ENSP00000408062	EIF3B
ENSP00000408065	CHEK2
ENSP00000408067	DDX39B
ENSP00000408066	LRRC23
ENSP00000408068	MMS19
ENSP00000427947	TMEM67
ENSP00000387308	SLC3A1
ENSP00000387309	CHST10
ENSP00000287820	PPARG
ENSP00000399087	CHRNA7
ENSP00000387300	DACT3
ENSP00000387301	CCDC115
ENSP00000387303	TDRD9
ENSP00000387305	NUP35
ENSP00000387307	RAB6C
ENSP00000380657	EIF4ENIF1
ENSP00000380654	EIF4ENIF1
ENSP00000380653	PSIP1
ENSP00000380652	EIF4ENIF1
ENSP00000380651	STK24
ENSP00000380650	UBE2I
ENSP00000427942	TSPAN18
ENSP00000380659	EIF4ENIF1
ENSP00000380658	CEP250
ENSP00000373242	MAP4
ENSP00000373243	MAP4
ENSP00000373240	PFKFB4
ENSP00000373246	NBEAL2
ENSP00000373244	CSPG5
ENSP00000373245	SCAP
ENSP00000373248	ALS2CL
ENSP00000309457	VPS41
ENSP00000298492	FAM175B
ENSP00000427948	CHMP7
ENSP00000430945	BAI1
ENSP00000430944	NCAPH2
ENSP00000333266	UBA7
ENSP00000430946	RBM22
ENSP00000430941	KIAA0146
ENSP00000333261	C11orf9
ENSP00000430943	INTS9
ENSP00000260008	FHDC1
ENSP00000430949	CXXC5
ENSP00000430948	RELL2
ENSP00000363056	EPB41L1
ENSP00000363057	EPB41L1
ENSP00000363054	STX12
ENSP00000363055	ZWINT
ENSP00000363052	EPB41L1
ENSP00000363051	ZWINT
ENSP00000398350	C11orf68
ENSP00000411395	MCL1
ENSP00000337008	ZNF644
ENSP00000304854	NUDCD2
ENSP00000420301	ZNF322A
ENSP00000372112	FAHD1
ENSP00000372114	FAHD1
ENSP00000372117	PSMD13
ENSP00000372119	RBMY1E
ENSP00000424903	C22orf39
ENSP00000442493	FANCM
ENSP00000383106	RBCK1
ENSP00000299727	GALR1
ENSP00000383105	DEPDC5
ENSP00000383102	RBCK1
ENSP00000383103	RBCK1
ENSP00000383100	NCR3
ENSP00000299721	CPLX4
ENSP00000383108	DEPDC5
ENSP00000383109	LST1
ENSP00000301873	LTBP3
ENSP00000301874	LTBP3
ENSP00000302783	TRAPPC1
ENSP00000302781	COL4A3
ENSP00000411500	TRIM39
ENSP00000368093	KIF13A
ENSP00000339659	TRIM2
ENSP00000297203	C7orf62
ENSP00000274849	ABT1
ENSP00000435238	SYTL2
ENSP00000435239	RBM4B
ENSP00000400280	CLIC1
ENSP00000435230	SPERT
ENSP00000435231	C11orf54
ENSP00000435232	ZNF623
ENSP00000435233	TEAD1
ENSP00000435234	ZSCAN5C
ENSP00000435235	IPO7
ENSP00000435236	REPS1
ENSP00000435237	MAP3K11
ENSP00000385025	SMCR8
ENSP00000400284	OR4F17
ENSP00000414143	C20orf90
ENSP00000418455	IFT80
ENSP00000418454	PDE6B
ENSP00000418457	ARMC8
ENSP00000418456	SLC2A2
ENSP00000418451	MRPS33
ENSP00000418450	CREM
ENSP00000418453	OFCC1
ENSP00000418452	IQCJ-SCHIP1
ENSP00000379855	PIK3R1
ENSP00000441611	NTN1
ENSP00000379857	GLIPR2
ENSP00000418459	KCTD20
ENSP00000418458	C9orf68
ENSP00000441610	MAP2K4
ENSP00000408803	TMEM111
ENSP00000408802	CARS
ENSP00000408801	SLC1A3
ENSP00000408800	MYO15A
ENSP00000408806	MRPL43
ENSP00000378180	BRD7
ENSP00000378181	BRD7
ENSP00000378182	STX5
ENSP00000378183	PLEKHG3
ENSP00000378184	RHOT1
ENSP00000303437	TSNARE1
ENSP00000303434	USP38
ENSP00000378187	ADCY7
ENSP00000359978	HHLA3
ENSP00000359970	PTGER3
ENSP00000359972	PTGER3
ENSP00000359973	ENOX2
ENSP00000310193	TBC1D10C
ENSP00000359976	CTH
ENSP00000359977	FBXO9
ENSP00000397629	UNC13D
ENSP00000397625	APOL1
ENSP00000397622	AC107021.1
ENSP00000397623	C2orf18
ENSP00000397620	TMEM8A
ENSP00000381929	DYRK1A
ENSP00000419620	AADAC
ENSP00000248228	CLEC4M
ENSP00000390636	SHANK2
ENSP00000272879	CASP10
ENSP00000390630	RIMBP3C
ENSP00000267008	ACVRL1
ENSP00000419324	WDR45
ENSP00000419325	SUCLG2
ENSP00000419327	SND1
ENSP00000419320	RFC2
ENSP00000378729	ALDOC
ENSP00000419322	ZNF148
ENSP00000378725	KTN1
ENSP00000412757	C9orf86
ENSP00000419328	MCCC1
ENSP00000378721	SEC31A
ENSP00000378722	KTN1
ENSP00000378723	HLA-DMB
ENSP00000334779	PPIP5K1
ENSP00000363809	SLC39A7
ENSP00000363808	HSPG2
ENSP00000363805	HSPG2
ENSP00000363804	KLF4
ENSP00000363807	SLC39A7
ENSP00000370532	GTF3A
ENSP00000432342	CDCA5
ENSP00000336735	PALLD
ENSP00000336733	ST6GALNAC4
ENSP00000229239	GAPDH
ENSP00000229238	MRPL51
ENSP00000336739	CDC14A
ENSP00000341987	OR51I2
ENSP00000326259	OR52H1
ENSP00000326253	RTBDN
ENSP00000346918	C14orf167
ENSP00000407832	SUMF2
ENSP00000256852	RAX
ENSP00000317357	OR13D1
ENSP00000245138	CNOT1
ENSP00000256858	KIAA1468
ENSP00000317359	CCDC136
ENSP00000421991	MTRR
ENSP00000266754	GAS2L3
ENSP00000437210	RBBP4
ENSP00000437211	ALG9
ENSP00000437212	RFWD2
ENSP00000437213	HLA-DOB
ENSP00000437214	EBAG9
ENSP00000437215	RPL35
ENSP00000437216	SIRT3
ENSP00000437217	SLC25A26
ENSP00000437218	CSRP1
ENSP00000437219	BAI2
ENSP00000449912	C12orf50
ENSP00000449913	HNRNPA1
ENSP00000449910	RDBP
ENSP00000449911	CPM
ENSP00000360578	ZFP64
ENSP00000449917	CNOT2
ENSP00000449914	RNF5
ENSP00000449915	PRRC2A
ENSP00000360575	ECHDC2
ENSP00000360576	NDOR1
ENSP00000360577	ECHDC2
ENSP00000360570	ZFP64
ENSP00000360571	ZFP64
ENSP00000360573	ZFP64
ENSP00000367034	HIST1H4C
ENSP00000367036	BANF2
ENSP00000367037	CEACAM1
ENSP00000367030	TRDMT1
ENSP00000446628	NAV3
ENSP00000367032	PLCXD3
ENSP00000367033	ZNF638
ENSP00000446625	ZNF641
ENSP00000446624	IL32
ENSP00000446627	MYL6
ENSP00000446626	MON2
ENSP00000367038	RRBP1
ENSP00000367039	SMARCE1
ENSP00000446623	IQCD
ENSP00000446622	TMEM106C
ENSP00000394392	SNCAIP
ENSP00000253861	EXOC4
ENSP00000290390	C2orf81
ENSP00000365895	HS6ST3
ENSP00000365896	TRIM10
ENSP00000365897	VSX1
ENSP00000365890	SULT1C3
ENSP00000365891	WAS
ENSP00000290399	SIM2
ENSP00000365898	FOXB2
ENSP00000365899	VSX1
ENSP00000380055	AC011500.2
ENSP00000376683	SIDT2
ENSP00000340542	PRYP4
ENSP00000376682	ABLIM1
ENSP00000316400	GBAP1
ENSP00000407941	DMTF1
ENSP00000407946	CR759747.1
ENSP00000407944	SEC31A
ENSP00000163416	GOLGA5
ENSP00000005340	DVL2
ENSP00000406098	STAG3L3
ENSP00000406099	C6orf48
ENSP00000406096	DDX39B
ENSP00000434746	C17orf28
ENSP00000434745	RELA
ENSP00000406095	APPL1
ENSP00000434743	TPD52L1
ENSP00000434742	SLCO2B1
ENSP00000434741	MRVI1
ENSP00000406091	DDR1
ENSP00000388533	RNF220
ENSP00000388530	CELF2
ENSP00000388531	AC040160.1
ENSP00000388536	SH2D3C
ENSP00000388537	GPR113
ENSP00000388535	GLUL
ENSP00000388538	APP
ENSP00000313158	ZNF366
ENSP00000313159	FBXO34
ENSP00000390539	RRM1
ENSP00000362935	ITGB1BP2
ENSP00000390533	ALG5
ENSP00000390531	MUDENG
ENSP00000390530	PTCD1
ENSP00000390537	RBBP6
ENSP00000390536	EDEM3
ENSP00000390535	PRKD1
ENSP00000398708	PXMP2
ENSP00000398700	LST1
ENSP00000398701	SLC47A1
ENSP00000398702	DLG1
ENSP00000398703	ANKRD36
ENSP00000398704	SHOX2
ENSP00000398705	PEMT
ENSP00000398706	RAB34
ENSP00000398707	TNNT1
ENSP00000435086	RNF141
ENSP00000061240	TLL1
ENSP00000439218	ACOT7
ENSP00000439216	PRKCH
ENSP00000439217	DNAJB5
ENSP00000439214	ARNT2
ENSP00000439215	ARF1
ENSP00000439212	C22orf39
ENSP00000439213	PTCH1
ENSP00000439210	IPO8
ENSP00000439211	ZNF611
ENSP00000324494	GRHL1
ENSP00000324491	CHMP7
ENSP00000379446	UMOD
ENSP00000442620	MSRB3
ENSP00000379444	ADAM10
ENSP00000442622	MUC5B
ENSP00000442625	HHAT
ENSP00000405548	TSHZ2
ENSP00000379440	ADAM10
ENSP00000379441	JMY
ENSP00000442629	USP44
ENSP00000405544	CD99
ENSP00000405547	RRP7A
ENSP00000405546	LTF
ENSP00000405541	SFI1
ENSP00000405540	DDR1
ENSP00000379448	ARHGAP12
ENSP00000404638	METTL7A
ENSP00000404639	DHX58
ENSP00000404635	PBRM1
ENSP00000404636	PPT2
ENSP00000404637	CHD6
ENSP00000404631	CACNA2D2
ENSP00000404632	PPP2R5E
ENSP00000404633	HADHB
ENSP00000356456	PRG4
ENSP00000356454	PRG4
ENSP00000356455	PRG4
ENSP00000356452	PRG4
ENSP00000356453	PRG4
ENSP00000356450	STXBP5
ENSP00000293604	C6orf136
ENSP00000440663	ACER3
ENSP00000440662	A2ML1
ENSP00000440661	TSPAN19
ENSP00000440660	DDB1
ENSP00000440667	ZNRF3
ENSP00000440666	GOLT1B
ENSP00000356458	C6orf103
ENSP00000356459	C6orf103
ENSP00000349912	OSBPL5
ENSP00000312403	OR2Y1
ENSP00000312402	SLFN11
ENSP00000312408	C10orf76
ENSP00000349918	CD97
ENSP00000349862	APAF1
ENSP00000424912	CAMK4
ENSP00000245960	CDC25B
ENSP00000368567	TNFRSF18
ENSP00000368566	ACSL6
ENSP00000368565	DNAJC2
ENSP00000368564	SIRT5
ENSP00000325722	CASP8
ENSP00000368562	UBAP2
ENSP00000368560	ALDH3A1
ENSP00000422764	PRKCZ
ENSP00000440089	SHMT1
ENSP00000440088	MMAB
ENSP00000440087	TRAV8-3
ENSP00000440086	DNAJC27
ENSP00000263062	EPC1
ENSP00000263063	MTPAP
ENSP00000075322	ENPP2
ENSP00000440082	FCGR2A
ENSP00000263066	LDB3
ENSP00000440080	PODNL1
ENSP00000426281	MYOT
ENSP00000426280	SNCAIP
ENSP00000426283	TAF9
ENSP00000426282	RPS3A
ENSP00000426285	HEXB
ENSP00000426284	FAM172A
ENSP00000426287	INTU
ENSP00000351155	ATL1
ENSP00000426289	RGS8
ENSP00000426288	ZBTB38
ENSP00000351159	CNOT3
ENSP00000300258	TCP10L
ENSP00000300255	C21orf63
ENSP00000367863	DDB2
ENSP00000367861	TMEM52
ENSP00000367867	CALML6
ENSP00000367866	DDB2
ENSP00000367865	TMEM52
ENSP00000367864	DDB2
ENSP00000367869	GNB1
ENSP00000367868	BEND7
ENSP00000345351	CYP3A43
ENSP00000345350	HIRA
ENSP00000345352	TNIK
ENSP00000345359	PODXL2
ENSP00000345358	MCRS1
ENSP00000392113	DBNL
ENSP00000392112	AC000120.8
ENSP00000392111	FRMD8
ENSP00000392110	BAG6
ENSP00000392117	SF3B1
ENSP00000400028	MMS19
ENSP00000392115	DEM1
ENSP00000392114	AC005522.1
ENSP00000400025	STAM
ENSP00000400024	C7orf49
ENSP00000400027	CLCN1
ENSP00000400026	RFX3
ENSP00000400021	C10orf96
ENSP00000400020	MSLN
ENSP00000400023	EFCAB5
ENSP00000400022	AP1B1
ENSP00000369397	NHS
ENSP00000348668	GALNT6
ENSP00000369395	LRRC19
ENSP00000348666	VPS13D
ENSP00000348667	CAPN3
ENSP00000416088	ZNF3
ENSP00000416089	DYRK1A
ENSP00000440565	FAM83A
ENSP00000416085	GART
ENSP00000341583	RBM33
ENSP00000341584	SERPINB13
ENSP00000440566	RGS12
ENSP00000416082	R3HDM1
ENSP00000416083	LZTFL1
ENSP00000421770	RPS3A
ENSP00000421771	RASGRF2
ENSP00000421772	IRX4
ENSP00000421773	C4orf40
ENSP00000421774	PLK4
ENSP00000350204	C4orf42
ENSP00000421776	RPS3A
ENSP00000421777	TAC4
ENSP00000350209	PHF11
ENSP00000421779	SH3TC2
ENSP00000262510	NLRC5
ENSP00000417937	PCCB
ENSP00000417936	GRAMD1C
ENSP00000417935	AKR1CL1
ENSP00000417934	SPAM1
ENSP00000417933	OFCC1
ENSP00000417932	RP11-392O18.1
ENSP00000417931	CCDC136
ENSP00000417930	FAM71F1
ENSP00000417939	ATP6V0E2
ENSP00000371917	C19orf26
ENSP00000262519	SETD1A
ENSP00000262518	SRCAP
ENSP00000413407	CTH
ENSP00000413406	CCDC68
ENSP00000389583	UBA1
ENSP00000315127	SCEL
ENSP00000340454	RAP1GDS1
ENSP00000407556	TBX2
ENSP00000407550	SLC4A5
ENSP00000340450	SLC2A14
ENSP00000407552	GAS7
ENSP00000407553	THNSL2
ENSP00000341329	TSPAN3
ENSP00000341324	SRFBP1
ENSP00000341325	MST1R
ENSP00000341327	SOCS4
ENSP00000413308	CCT3
ENSP00000413309	MB
ENSP00000305373	ZNF440
ENSP00000413301	MAP7D2
ENSP00000413302	MREG
ENSP00000349132	FAM75A3
ENSP00000413304	IGKV6D-21
ENSP00000442353	SLC25A26
ENSP00000413306	PTPRF
ENSP00000413307	ATP13A2
ENSP00000442357	FHL5
ENSP00000442356	PGA5
ENSP00000384359	APOBEC3A
ENSP00000250635	ASH2L
ENSP00000384352	THAP4
ENSP00000384353	PARVB
ENSP00000436871	EPB41L2
ENSP00000436870	QSER1
ENSP00000384356	PIKFYVE
ENSP00000436876	EIF1AD
ENSP00000384354	CALN1
ENSP00000436874	TPPP2
ENSP00000395232	FAM54A
ENSP00000395231	POLD2
ENSP00000395230	XIAP
ENSP00000395237	NEDD9
ENSP00000395236	KALRN
ENSP00000395235	CENPN
ENSP00000395234	LTF
ENSP00000395239	CHL1
ENSP00000395238	NCR3
ENSP00000257177	ZCCHC11
ENSP00000265056	MCM2
ENSP00000265052	MGLL
ENSP00000305995	PGK2
ENSP00000424610	LRP2BP
ENSP00000424611	COMMD10
ENSP00000424612	TROVE2
ENSP00000424613	HSD17B4
ENSP00000227378	HSPA8
ENSP00000424615	MIB2
ENSP00000424616	PLRG1
ENSP00000424618	KIAA0825
ENSP00000424619	PIGG
ENSP00000382987	ZNF705B
ENSP00000382981	EPB41L3
ENSP00000382980	CSNK2B
ENSP00000382982	TUBA3C
ENSP00000414657	OSR2
ENSP00000414656	HYAL2
ENSP00000414655	CCDC14
ENSP00000414654	C6orf26
ENSP00000414653	PLSCR1
ENSP00000414651	CEP250
ENSP00000414650	RBM14
ENSP00000414658	TTC3
ENSP00000408399	GSPT1
ENSP00000408393	PMPCA
ENSP00000408392	10-Sep
ENSP00000408391	C6orf48
ENSP00000408390	BEST1
ENSP00000408396	BRD8
ENSP00000408395	RBFOX3
ENSP00000375869	NCF2
ENSP00000385409	LBH
ENSP00000385408	TNFRSF19
ENSP00000385400	CCDC104
ENSP00000385403	ZGLP1
ENSP00000385402	NEU4
ENSP00000385405	PSG2
ENSP00000385404	ACP1
ENSP00000385407	TRMT2A
ENSP00000385406	LHCGR
ENSP00000376495	USP45
ENSP00000376496	RNF32
ENSP00000376497	RNF32
ENSP00000376491	C10orf137
ENSP00000376492	MYNN
ENSP00000376493	MECOM
ENSP00000360381	CDCP2
ENSP00000376499	RNF32
ENSP00000310785	MRPS22
ENSP00000401419	NRG2
ENSP00000376985	RAB43
ENSP00000415803	CDC123
ENSP00000310788	OR5J2
ENSP00000401414	ULK4
ENSP00000007699	YBX2
ENSP00000262707	CHD8
ENSP00000233121	MAPRE3
ENSP00000262709	TOX4
ENSP00000303908	TWF2
ENSP00000303909	ABR
ENSP00000420614	SLC17A1
ENSP00000409276	FGF13
ENSP00000409275	COQ2
ENSP00000420617	MFN1
ENSP00000420610	C6orf201
ENSP00000420611	EIF2A
ENSP00000420612	TIPARP
ENSP00000409270	VIL1
ENSP00000420618	CALCA
ENSP00000420619	SLAIN1
ENSP00000409279	OTUD4
ENSP00000371143	FKBP1A
ENSP00000371141	GAGE12H
ENSP00000371147	RCL1
ENSP00000371144	GAGE2B
ENSP00000371149	RCL1
ENSP00000372488	DGCR8
ENSP00000372483	AC044913.1
ENSP00000372482	SNRNP25
ENSP00000428719	SFTPB
ENSP00000372484	RBMY1B
ENSP00000370439	RP4-695O20__B.10
ENSP00000251424	CFHR4
ENSP00000370430	PNPLA4
ENSP00000381408	UBASH3A
ENSP00000381405	AC011498.1
ENSP00000381404	SLC2A11
ENSP00000381400	SLC2A11
ENSP00000381402	GPM6B
ENSP00000433519	MS4A1
ENSP00000433518	PAK1
ENSP00000433513	C11orf34
ENSP00000433512	NAP1L4
ENSP00000389230	OR2H1
ENSP00000389231	AC005522.1
ENSP00000433517	RFWD2
ENSP00000433516	PHF1
ENSP00000433515	NUP98
ENSP00000433514	IKBKAP
ENSP00000327054	LMNB2
ENSP00000327055	WSB1
ENSP00000436048	AF131216.6
ENSP00000436049	EIF3M
ENSP00000436042	PCDHA9
ENSP00000436043	SPAG11A
ENSP00000436040	SERPINH1
ENSP00000436041	SYBU
ENSP00000436046	MTMR9
ENSP00000436047	ST3GAL4
ENSP00000436044	TCTN1
ENSP00000436045	EEF1D
ENSP00000435582	AGBL2
ENSP00000435583	NUP214
ENSP00000435580	RPS6KA4
ENSP00000435581	ACOT8
ENSP00000435586	NCAPD3
ENSP00000428348	MTSS1
ENSP00000435584	ACADM
ENSP00000435585	EPS8L2
ENSP00000435588	TMEM234
ENSP00000435589	PUM1
ENSP00000253233	C12orf65
ENSP00000366226	C9orf85
ENSP00000366227	DCT
ENSP00000366225	NAPB
ENSP00000366223	C9orf57
ENSP00000366220	DCT
ENSP00000366221	CASZ1
ENSP00000373167	TIGIT
ENSP00000373165	CD80
ENSP00000373164	CD80
ENSP00000373163	C3orf15
ENSP00000403628	CCHCR1
ENSP00000403629	BAG6
ENSP00000403627	FLOT1
ENSP00000403624	HLA-C
ENSP00000403625	ANO7
ENSP00000403623	RDBP
ENSP00000403620	PHTF2
ENSP00000403621	WBSCR28
ENSP00000298358	C14orf148
ENSP00000382179	MYO5A
ENSP00000382174	MYO5A
ENSP00000393558	RBKS
ENSP00000382177	MYO5A
ENSP00000298351	TMEM63C
ENSP00000298352	NGB
ENSP00000393559	PACS2
ENSP00000296402	CAMK2D
ENSP00000381277	C11orf90
ENSP00000274457	FEM1C
ENSP00000353002	PHACTR3
ENSP00000409339	OR2H2
ENSP00000353006	LPHN2
ENSP00000353007	SULF2
ENSP00000353004	PML
ENSP00000346874	FAR1
ENSP00000388727	C2
ENSP00000272793	UBR3
ENSP00000272797	KLHL23
ENSP00000388724	HLA-A
ENSP00000388723	KBTBD13
ENSP00000321063	SSH2
ENSP00000388722	MTA3
ENSP00000339191	CAV1
ENSP00000339195	ZNF77
ENSP00000358588	GAB3
ENSP00000339197	MKNK1
ENSP00000358587	C6orf163
ENSP00000358584	AP4B1
ENSP00000358585	C6orf164
ENSP00000358582	AP4B1
ENSP00000358583	C6orf164
ENSP00000358580	AP4B1
ENSP00000358581	GAB3
ENSP00000395369	NBPF16
ENSP00000436920	MFF
ENSP00000338823	C1orf145
ENSP00000447851	MDC1
ENSP00000447850	AC225613.1
ENSP00000447853	SLC38A1
ENSP00000447852	POC1B
ENSP00000333769	BSG
ENSP00000447854	TNXB
ENSP00000447857	ELK3
ENSP00000447856	MSH5
ENSP00000447859	RNF39
ENSP00000447858	NPAS3
ENSP00000428009	CYFIP2
ENSP00000204517	TFAP4
ENSP00000428001	SLC18A1
ENSP00000332415	SETD2
ENSP00000428003	RAD21
ENSP00000428002	C8orf44
ENSP00000428005	PROSC
ENSP00000428004	ZNF619
ENSP00000428007	STK19
ENSP00000332413	BEST3
ENSP00000436929	IL32
ENSP00000395360	PNCK
ENSP00000379138	AFP
ENSP00000379139	CXCL12
ENSP00000379134	C6orf48
ENSP00000379135	C6orf48
ENSP00000379133	APIP
ENSP00000379131	EBAG9
ENSP00000302620	AGXT
ENSP00000302621	LRG1
ENSP00000302625	AXIN2
ENSP00000302629	CHSY3
ENSP00000428714	DENND3
ENSP00000289316	HIST1H2BD
ENSP00000193322	OSTM1
ENSP00000248384	OR1E2
ENSP00000432549	DENND5A
ENSP00000418798	CREM
ENSP00000418799	TUBAL3
ENSP00000418792	MSL3
ENSP00000418793	PLA1A
ENSP00000418790	KALRN
ENSP00000418791	MME
ENSP00000418796	TMEM39A
ENSP00000418797	HHLA2
ENSP00000418794	PUS7
ENSP00000418795	WDR52
ENSP00000441848	KCNJ2
ENSP00000441849	AP000280.2
ENSP00000441840	VPS13A
ENSP00000441841	MDM2
ENSP00000303575	NUDT9
ENSP00000441843	TMEM86A
ENSP00000441844	REXO2
ENSP00000441845	MTR
ENSP00000441846	AMN1
ENSP00000303570	ANKMY2
ENSP00000218758	ACP5
ENSP00000397182	TFG
ENSP00000397181	RGS4
ENSP00000397180	NEK11
ENSP00000397187	MSH5
ENSP00000397185	NFE2
ENSP00000397184	MIS18BP1
ENSP00000397189	CALCOCO1
ENSP00000397188	FAM104B
ENSP00000292879	U2AF1L4
ENSP00000396858	AC002553.1
ENSP00000354340	UBA3
ENSP00000354341	MEPE
ENSP00000396854	USP39
ENSP00000396855	LYPD6
ENSP00000396850	TBC1D5
ENSP00000354347	GFPT1
ENSP00000359066	AVPR2
ENSP00000369948	SLC22A18
ENSP00000369949	ELN
ENSP00000369946	ADRA1A
ENSP00000369947	ADRA1A
ENSP00000369944	ADAMTSL1
ENSP00000369942	GCOM1
ENSP00000369943	GCOM1
ENSP00000369940	ADAMTSL1
ENSP00000369941	OFD1
ENSP00000390867	PRPF39
ENSP00000390866	EGFL8
ENSP00000390861	LRRC68
ENSP00000390860	HLA-C
ENSP00000219409	ARHGDIG
ENSP00000390862	LIMS1
ENSP00000323034	FAM83A
ENSP00000219406	PDIA2
ENSP00000323036	ACPP
ENSP00000390869	GATSL3
ENSP00000390868	NRCAM
ENSP00000323032	ZNF318
ENSP00000219400	C16orf61
